yyyy.MM.dd (DDD) HH:mm:ss C-score   foF2    h`F   hmF2



2003.10.29 (302) 00:00:05     100 11.600  377.9  419.4
2003.10.29 (302) 00:15:05     100 11.400  346.3  392.8
2003.10.29 (302) 00:30:05     100 11.400  320.7  395.0
2003.10.29 (302) 00:45:05     100 11.000  272.0  382.5
2003.10.29 (302) 01:00:05     100 11.600  267.2  350.4
2003.10.29 (302) 01:15:05     100  9.200  243.2  314.3
2003.10.29 (302) 01:30:05     100 11.100  259.5  323.2
2003.10.29 (302) 01:45:05     100 11.500  275.3  345.5
2003.10.29 (302) 02:00:05     100 13.300  300.9  311.0
2003.10.29 (302) 02:15:05     100  6.000  261.0  318.3
2003.10.29 (302) 02:30:05     100 11.500  273.3  327.2
2003.10.29 (302) 02:45:05     100 11.400  245.6  317.4
2003.10.29 (302) 03:00:05     100 11.000  249.6  344.4
2003.10.29 (302) 03:15:05     100 10.200  253.5  322.2
2003.10.29 (302) 03:30:05     100  9.500  252.5  327.5
2003.10.29 (302) 03:45:05     100  9.300  269.3  342.0
2003.10.29 (302) 04:00:05     100  9.300  273.3  356.2
2003.10.29 (302) 04:15:05     100  9.000  293.0  361.9
2003.10.29 (302) 04:30:05     100  9.100  304.9  367.0
2003.10.29 (302) 04:45:05     100  9.300  304.9  381.3
2003.10.29 (302) 05:00:05     100  9.000  310.0  340.6
2003.10.29 (302) 05:15:05     100  8.900  291.1  354.8
2003.10.29 (302) 05:30:05     100  9.300  304.9  379.7
2003.10.29 (302) 05:45:05     100  9.100  310.8  349.3
2003.10.29 (302) 06:00:05     100  9.300  320.7  366.8
2003.10.29 (302) 06:15:05     100  7.900  289.1  333.6
2003.10.29 (302) 06:30:05     100  8.100  245.6  289.2
2003.10.29 (302) 06:45:05     100  7.800  216.0  259.8
2003.10.29 (302) 07:00:05     100  6.700  216.0  240.3
2003.10.29 (302) 07:15:05     100  3.900  223.9  243.6
2003.10.29 (302) 07:30:05       216    216    216   216
2003.10.29 (302) 07:45:05       216    216    216    216
2003.10.29 (302) 08:00:05       216    216    216    216
2003.10.29 (302) 08:15:05     100  3.500  346.3  344.1
2003.10.29 (302) 08:30:05     100  4.700  281.2  293.6
2003.10.29 (302) 08:45:05     100  6.900  259.5  302.4
2003.10.29 (302) 09:00:05     100  7.200  249.6  276.3
2003.10.29 (302) 09:15:05     100  7.300  249.6  264.4
2003.10.29 (302) 09:30:05     100  7.800  267.4  274.9
2003.10.29 (302) 09:45:05     100  7.600  255.5  259.3
2003.10.29 (302) 10:00:05     100  7.400  275.3  275.6
2003.10.29 (302) 10:15:05     100  7.500  269.3  272.6
2003.10.29 (302) 10:30:05     100  7.500  267.4  272.9
2003.10.29 (302) 10:45:05     100  8.000  261.4  324.6
2003.10.29 (302) 11:00:05     100  9.100  271.3  349.8
2003.10.29 (302) 11:15:05     100 10.200  263.4  342.3
2003.10.29 (302) 11:30:05     100 11.100  259.5  359.1
2003.10.29 (302) 11:45:05     100 11.500  253.5  329.0
2003.10.29 (302) 12:00:05     100 12.300  239.7  369.3
2003.10.29 (302) 12:15:05     100 12.300  235.8  340.7
2003.10.29 (302) 12:30:05     100 13.000  247.6  369.5
