FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018   1  0    -5  66.8
2018   1  1    -7  66.8
2018   1  2   -13  66.8
2018   1  3    -9  66.8
2018   1  4   -12  66.8
2018   1  5   -18  66.8
2018   1  6   -20  66.8
2018   1  7   -20  66.8
2018   1  8   -17  66.8
2018   1  9   -18  66.8
2018   1 10   -16  66.8
2018   1 11   -12  66.8
2018   1 12    -9  66.8
2018   1 13    -9  66.8
2018   1 14   -15  66.8
2018   1 15   -17  66.8
2018   1 16   -15  66.8
2018   1 17   -13  66.8
2018   1 18   -12  66.8
2018   1 19   -10  66.8
2018   1 20    -9  66.8
2018   1 21    -9  66.8
2018   1 22    -8  66.8
2018   1 23    -7  66.8
2018   2  0    -6  67.2
2018   2  1    -5  67.2
2018   2  2    -3  67.2
2018   2  3    -4  67.2
2018   2  4    -5  67.2
2018   2  5    -8  67.2
2018   2  6   -11  67.2
2018   2  7   -12  67.2
2018   2  8   -10  67.2
2018   2  9    -9  67.2
2018   2 10    -7  67.2
2018   2 11    -7  67.2
2018   2 12    -3  67.2
2018   2 13    -1  67.2
2018   2 14    -5  67.2
2018   2 15    -6  67.2
2018   2 16    -5  67.2
2018   2 17    -7  67.2
2018   2 18    -5  67.2
2018   2 19    -2  67.2
2018   2 20     0  67.2
2018   2 21    -1  67.2
2018   2 22     0  67.2
2018   2 23     1  67.2
2018   3  0     2  68.3
2018   3  1     6  68.3
2018   3  2     7  68.3
2018   3  3     6  68.3
2018   3  4     5  68.3
2018   3  5     3  68.3
2018   3  6     1  68.3
2018   3  7    -1  68.3
2018   3  8    -4  68.3
2018   3  9    -8  68.3
2018   3 10    -7  68.3
2018   3 11    -3  68.3
2018   3 12     0  68.3
2018   3 13     1  68.3
2018   3 14    -2  68.3
2018   3 15    -5  68.3
2018   3 16    -3  68.3
2018   3 17     0  68.3
2018   3 18    -3  68.3
2018   3 19    -3  68.3
2018   3 20    -1  68.3
2018   3 21    -1  68.3
2018   3 22     0  68.3
2018   3 23     1  68.3
2018   4  0     1  67.2
2018   4  1     2  67.2
2018   4  2     5  67.2
2018   4  3     5  67.2
2018   4  4     3  67.2
2018   4  5    -1  67.2
2018   4  6    -7  67.2
2018   4  7    -9  67.2
2018   4  8    -7  67.2
2018   4  9    -7  67.2
